Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Plant ID,Daily Capacity ,Truck Count
1447306622.7,2011-01-01,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699333,PLANT03,PORT09,635,936.85,PLANT03,1013,32
1447306541.7,2011-01-02,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699268,PLANT03,PORT09,220,237.162050448668,PLANT03,1013,8
1447392840.7,2011-01-03,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699268,PLANT03,PORT09,658,942.97,PLANT03,1013,32
1447306543.7,2011-01-04,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699268,PLANT03,PORT09,330,333.4,PLANT03,1013,12
1447189595.7,2011-01-04,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699584,PLANT03,PORT09,691,1015.2699609649416,PLANT03,1013,34
1447189594.7,2011-01-05,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699584,PLANT03,PORT09,476,622.96,PLANT03,1013,21
1447189593.7,2011-01-05,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699584,PLANT03,PORT09,452,549.6195742131181,PLANT03,1013,19
1447405923.7,2011-01-06,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699584,PLANT03,PORT09,369,377.61,PLANT03,1013,13
1447306544.7,2011-01-07,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699584,PLANT03,PORT09,389,406.62,PLANT03,1013,14
1447182454.7,2011-01-08,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699562,PLANT03,PORT09,254,378.8703224974621,PLANT03,1013,13
1447320769.7,2011-01-08,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699562,PLANT03,PORT09,684,891.7803393502918,PLANT03,1013,30
1447316999.7,2011-01-09,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699562,PLANT03,PORT09,473,697.41,PLANT03,1013,24
1447320723.7,2011-01-10,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699564,PLANT03,PORT09,464,467.7041705150897,PLANT03,1013,16
1447306567.7,2011-01-10,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699564,PLANT03,PORT09,291,355.04218783911205,PLANT03,1013,12
1447306637.7,2011-01-11,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699564,PLANT03,PORT09,463,470.96,PLANT03,1013,16
1447399896.7,2011-01-12,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699561,PLANT03,PORT09,249,331.4840244020708,PLANT03,1013,12
1447306540.7,2011-01-12,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699561,PLANT03,PORT09,589,650.24,PLANT03,1013,22
1447306621.7,2011-01-13,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699561,PLANT03,PORT09,390,554.2455310460248,PLANT03,1013,19
1447320841.7,2011-01-14,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699561,PLANT03,PORT09,645,943.85,PLANT03,1013,32
1447399894.7,2011-01-14,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699561,PLANT03,PORT09,470,490.7957379822011,PLANT03,1013,17
1447320823.7,2011-01-15,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699793,PLANT03,PORT09,389,452.2767493334549,PLANT03,1013,16
1447418500.7,2011-01-16,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1700980,PLANT03,PORT09,566,800.532715089996,PLANT03,1013,27
1447379297.7,2011-01-16,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699792,PLANT03,PORT09,451,587.8862228533474,PLANT03,1013,20
